Element Code,System,Table,Element,System Type ,Level ,HIV,Program Area,Goal ,Potential Overlap (HIV),Goal1,Goal2,Goal3,Array
1,Register-ANC,ANC,Antenatal Drugs,Paper,Facility ,Y,PMTCT,16,?,1,6,,"[1,6]"
2,Register-ANC,ANC,Appoint Date,Paper,Facility ,Y,PMTCT,6,N,6,,,[6]
3,Register-ANC,ANC,Area of Residence,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
4,Register-ANC,ANC,Availabe TR,Paper,Facility ,Y,PMTCT,6,?,6,,,[6]
5,Register-ANC,ANC,Baby Info,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
6,Register-ANC,ANC,Bed net,Paper,Facility ,Y,PMTCT,6,N,6,,,[6]
7,Register-ANC,ANC,Blood Pressure,Paper,Facility ,Y,PMTCT,6,N,6,,,[6]
8,Register-ANC,ANC,Cellphone,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
9,Register-ANC,ANC,Danger signs,Paper,Facility ,Y,PMTCT,6,N,6,,,[6]
10,Register-ANC,ANC,Delivered Preg,Paper,Facility ,Y,PMTCT,6,Y,6,,,[6]
11,Register-ANC,ANC,DoB,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
12,Register-ANC,ANC,Ever had SH,Paper,Facility ,Y,PMTCT,6,?,6,,,[6]
13,Register-ANC,ANC,Fetal Heart Beat,Paper,Facility ,Y,PMTCT,6,N,6,,,[6]
14,Register-ANC,ANC,First Name,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
15,Register-ANC,ANC,Fundus (wks),Paper,Facility ,Y,PMTCT,6,?,6,,,[6]
16,Register-ANC,ANC,Gestation,Paper,Facility ,Y,PMTCT,6,?,6,,,[6]
17,Register-ANC,ANC,Gravida,Paper,Facility ,Y,PMTCT,6,?,6,,,[6]
18,Register-ANC,ANC,Height,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
19,Register-ANC,ANC,HIV Test Date,Paper,Facility ,Y,PMTCT,6,Y,6,,,[6]
20,Register-ANC,ANC,HIV Test results,Paper,Facility ,Y,PMTCT,6,Y,6,,,[6]
21,Register-ANC,ANC,Home Add,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
22,Register-ANC,ANC,Home Village,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
23,Register-ANC,ANC,Landamark,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
24,Register-ANC,ANC,Last Name,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
25,Register-ANC,ANC,LMP,Paper,Facility ,Y,PMTCT,6,?,6,,,[6]
26,Register-ANC,ANC,Location,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
27,Register-ANC,ANC,Multiple Preg?,Paper,Facility ,Y,PMTCT,6,Y,6,,,[6]
28,Register-ANC,ANC,Nationality,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
29,Register-ANC,ANC,Occupation,Paper,Facility ,Y,DEMO,6,Y,6,,,[6]
30,Register-ANC,ANC,Past complications,Paper,Facility ,Y,PMTCT,6,Y,6,,,[6]
31,Register-ANC,ANC,Planned Delivery,Paper,Facility ,Y,PMTCT,6,Y,6,,,[6]
32,Register-ANC,ANC,Presentation,Paper,Facility ,Y,PMTCT,6,?,6,,,[6]
33,Register-ANC,ANC,Prev complications,Paper,Facility ,Y,PMTCT,6,Y,6,,,[6]
