ElementCode,System,Table,Element,SystemType,Level,HIV,ProgramArea,Goal,PotentialOverlapHIV
1,Register-ANC,ANC,Antenatal Drugs,Paper,Facility,Y,PMTCT,16,?
2,Register-ANC,ANC,Appoint Date,Paper,Facility,Y,PMTCT,6,N
3,Register-ANC,ANC,Area of Residence,Paper,Facility,Y,DEMO,6,Y
4,Register-ANC,ANC,Availabe TR,Paper,Facility,Y,PMTCT,6,?
5,Register-ANC,ANC,Baby Info,Paper,Facility,Y,DEMO,6,Y
6,Register-ANC,ANC,Bed net,Paper,Facility,Y,PMTCT,6,N
7,Register-ANC,ANC,Blood Pressure,Paper,Facility,Y,PMTCT,6,N
8,Register-ANC,ANC,Cellphone,Paper,Facility,Y,DEMO,6,Y
9,Register-ANC,ANC,Danger signs,Paper,Facility,Y,PMTCT,6,N
10,Register-ANC,ANC,Delivered Preg,Paper,Facility,Y,PMTCT,6,Y
11,Register-ANC,ANC,DoB,Paper,Facility,Y,DEMO,6,Y
12,Register-ANC,ANC,Ever had SH,Paper,Facility,Y,PMTCT,6,?
13,Register-ANC,ANC,Fetal Heart Beat,Paper,Facility,Y,PMTCT,6,N
14,Register-ANC,ANC,First Name,Paper,Facility,Y,DEMO,6,Y
15,Register-ANC,ANC,Fundus (wks),Paper,Facility,Y,PMTCT,6,?
16,Register-ANC,ANC,Gestation,Paper,Facility,Y,PMTCT,6,?
17,Register-ANC,ANC,Gravida,Paper,Facility,Y,PMTCT,6,?
18,Register-ANC,ANC,Height,Paper,Facility,Y,DEMO,6,Y
19,Register-ANC,ANC,HIV Test Date,Paper,Facility,Y,PMTCT,6,Y
20,Register-ANC,ANC,HIV Test results,Paper,Facility,Y,PMTCT,6,Y
21,Register-ANC,ANC,Home Add,Paper,Facility,Y,DEMO,6,Y
22,Register-ANC,ANC,Home Village,Paper,Facility,Y,DEMO,6,Y
23,Register-ANC,ANC,Landamark,Paper,Facility,Y,DEMO,6,Y
24,Register-ANC,ANC,Last Name,Paper,Facility,Y,DEMO,6,Y
25,Register-ANC,ANC,LMP,Paper,Facility,Y,PMTCT,6,?
26,Register-ANC,ANC,Location,Paper,Facility,Y,DEMO,6,Y
27,Register-ANC,ANC,Multiple Preg?,Paper,Facility,Y,PMTCT,6,Y
28,Register-ANC,ANC,Nationality,Paper,Facility,Y,DEMO,6,Y
29,Register-ANC,ANC,Occupation,Paper,Facility,Y,DEMO,6,Y
30,Register-ANC,ANC,Past complications,Paper,Facility,Y,PMTCT,6,Y
31,Register-ANC,ANC,Planned Delivery,Paper,Facility,Y,PMTCT,6,Y
32,Register-ANC,ANC,Presentation,Paper,Facility,Y,PMTCT,6,?
33,Register-ANC,ANC,Prev complications,Paper,Facility,Y,PMTCT,6,Y
34,Register-ANC,ANC,Prev Ttv,Paper,Facility,Y,PMTCT,6,?
35,Register-ANC,ANC,Surgical done before,Paper,Facility,Y,PMTCT,6,?
36,Register-ANC,ANC,T/A,Paper,Facility,Y,PMTCT,6,?
37,Register-ANC,ANC,Text,Paper,Facility,Y,PMTCT,6,N
